title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Zero-knowledge proof techniques for enhanced privacy and scalability in blockchain systems,J Watkins,2025,5,… privacy preservation and scalability. This paper explores the integration of zero-knowledge proof (… Our supply chain case study implemented zk-STARKs to enable verification of product …,KGvW6JXxar0J,"J Watkins - Proc. IEEE Int. Symp. High-Performance Computer …, 2025 - researchgate.net",[],https://www.researchgate.net/profile/Jon-Watkins/publication/390034014_Zero-Knowledge_Proof_Techniques_for_Enhanced_Privacy_and_Scalability_in_Blockchain_Systems/links/67dc91f0e62c604a0df7acc8/Zero-Knowledge-Proof-Techniques-for-Enhanced-Privacy-and-Scalability-in-Blockchain-Systems.pdf,unknown,unknown
"Zero-Knowledge Proofs For Privacy-Preserving Systems: A Survey Across Blockchain, Identity, And Beyond",S Gupta,2025,12,"… , including Bulletproof, Sigma, zk-SNARKs, and zkSTARKs. These constructions have enabled ZKPs to move from theoretical tools into scalable, real-world applications. Their features, …",v1AH90JFA2oJ,"S Gupta - Engineering and Technology Journal, 2025 - researchgate.net",[],https://www.researchgate.net/profile/Sandeep-Gupta-117/publication/394445573_Zero-Knowledge_Proofs_For_Privacy-Preserving_Systems_A_Survey_Across_Blockchain_Identity_And_Beyond/links/689b15ef592005365733a407/Zero-Knowledge-Proofs-For-Privacy-Preserving-Systems-A-Survey-Across-Blockchain-Identity-And-Beyond.pdf,unknown,unknown
Hybrid zk-STARK and zk-SNARK Framework for Privacy-Preserving Smart Contract Data Feeds,"ST Nassar, A Hamdy, K Nagaty",2024,4,"… Our solution proposes a new hybrid approach that combines zk-STARKs and zk-SNARKs to … or zk-STARKs and offers a solution for scalable, privacypreserving zero knowledge proofs …",uh-td_YrfcQJ,"ST Nassar, A Hamdy, K Nagaty - … International Conference on …, 2024 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10928100/,unknown,unknown
The power I know: Zero-knowledge proofs and their transformative role in the future of cryptography,"S Eshan, A Shirish, U Lav",2025,7,"… setup and offer improved scalability. Unlike SNARKs, zk-STARKs utilize hash functions … Among the most robust features that they have is that they are scalable; zk-STARKs do not …",eezR0QPmThcJ,"S Eshan, A Shirish, U Lav - IEEE Access, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11127078/,unknown,unknown
zk-STARKs in Action: Real-Time and Post-Quantum Verification for Banking Transactions,"TH To, VTD Le, VT Luu, HL Pham…",2025,0,"… of the proposed zero-knowledge verification framework in three … for batch proofs, their scalability and verifiability make them ideal … In summary, zk-STARKs provide a highly scalable, post…",k3TngnYEiaIJ,"TH To, VTD Le, VT Luu, HL Pham… - … on Computing and …, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11318949/,unknown,unknown
Quantum-resistant identity management via zk-starks and decentralized storage,"K Maidine, ELY Ahmed, S Trichni",2025,2,"… apps that demand both privacy and scalability [31], mainly in … Their algorithmic innovation and scalability make ZKSTARKs … of zkSTARKs, which ensures high levels of zero-knowledge …",WhwPmqEDak0J,"K Maidine, ELY Ahmed, S Trichni - Ingenierie des Systemes d' …, 2025 - researchgate.net",[],https://www.researchgate.net/profile/Khalid-Maidine/publication/393425099_Quantum-Resistant_Identity_Management_via_ZK-STARKs_and_Decentralized_Storage/links/68c87f54a14ac57c39a841d2/Quantum-Resistant-Identity-Management-via-ZK-STARKs-and-Decentralized-Storage.pdf,unknown,unknown
"Decentralized, Quantum-Resistant Identity: The ZK-STARK and IPFS Approach","K Maidine, A El-Yahyaoui, S Trichni",2025,1,"… zero-knowledge systems such as ZK-SNARKs, ZK-STARKs … a transformative technology for scalable, privacy-preserving, … approach and scalability make ZK-STARKs a foundational …",ybVCUYrj9MYJ,"K Maidine, A El-Yahyaoui, S Trichni - Journal of Cybersecurity …, 2025 - researchgate.net",[],https://www.researchgate.net/profile/Khalid-Maidine/publication/395712321_Decentralized_Quantum-Resistant_Identity_The_ZK-STARK_and_IPFS_Approach/links/68d1096ce7969f4855516992/Decentralized-Quantum-Resistant-Identity-The-ZK-STARK-and-IPFS-Approach.pdf,unknown,unknown
"Analysis of Zero-Knowledge Proofs Foundations, Methods, and Applications: A Comprehensive Survey",RP Singh,2026,0,… The prover can show that a statement is true using zkSTARKs without disclosing any further … is a blockchain protocol that is aimed at solving the issues of privacy and scalability. It uses …,v3O0CueA6pMJ,"RP Singh - Journal of Artificial Intelligence in Healthcare and …, 2026 - jaihfs.org",[],http://jaihfs.org/index.php/j/article/view/1,unknown,unknown
Leveraging zero-knowledge proofs for privacy-preserving blockchain transactions,B Fatima,2025,4,"… This study primarily concentrates on zk-SNARKs and zk-STARKs, which represent advanced iterations of ZKPs that enhance both privacy and scalability. By analyzing established …",oTK1WQprq5YJ,B Fatima - 2025 - papers.ssrn.com,[],https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=5239705,unknown,unknown
A Comparative Analysis of zk-SNARKs and zk-STARKs: Theory and Practice,"A Nainwal, A Kamble, N Awathare",2025,2,"… Zero-knowledge proofs (ZKPs) are central to secure and privacy-preserving computation, with zk-SNARKs and zkSTARKs … Efficiency and Scalability This section compares zk-SNARKs …",tszULLWZSGwJ,"A Nainwal, A Kamble, N Awathare - arXiv preprint arXiv:2512.10020, 2025 - arxiv.org",[],https://arxiv.org/abs/2512.10020,unknown,unknown
