title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Efficient network monitoring applications in the kernel with ebpf and xdp,"M Abranches, O Michel, E Keller…",2021,75,"… Second, monitoring tasks implemented as eBPF programs can be injected and activated at runtime from user space. Multiple such applications can be orchestrated as a chain where …",og5xEes9vRoJ,"M Abranches, O Michel, E Keller… - 2021 IEEE Conference …, 2021 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9665095/,unknown,unknown
Analysis and Testing of eBPF Attack Surfaces,A Messina,2024,2,"… into the kernel at run-time. … eBPF bytecode to the kernel, where it is verified to ensure its safety. However, until the program is attached to a specific hook, such as XDP, TC, or tracepoints…",jk3AcSWAJmsJ,A Messina - 2024 - webthesis.biblio.polito.it,[],https://webthesis.biblio.polito.it/33909/,unknown,unknown
Detection and Mitigation of eBPF Security Risks in the Linux Kernel,V Costanzo,2025,1,… exploited to bypass fundamental kernel security boundaries. … program inspects system call arguments at the syscall entry tracepoint… : unlike network-oriented eBPF features such as XDP …,uj05TzF-avEJ,V Costanzo - 2025 - webthesis.biblio.polito.it,[],https://webthesis.biblio.polito.it/37926/?template=default,unknown,unknown
"Three Modes of Database-Kernel Integration via eBPF: Observability, Policy Injection, and Kernel-Resident State","SA Adepoju, MAO Adepoju",2026,0,"… into XDP/eBPF, maintaining the hot-path state in kernelaccessible … and runtime behavior; without careful decomposition, “eBPF … that operate at different event rates (eg, tracepoints vs. …",TUjLAIkCZGwJ,"SA Adepoju, MAO Adepoju - 2026 - preprints.org",[],https://www.preprints.org/manuscript/202602.0959,unknown,unknown
"ebpf: Pioneering kernel programmability and system observability-past, present, and future insights","L Song, J Li",2024,8,"… In particular, the XDP [7] project utilizes eBPF at the lowest level … optimizations for eBPF, such as kernel tracepoints and VM … In the domain of Linux kernel security, eBPF technology has …",aXaYM6bFN-0J,"L Song, J Li - 2024 3rd International Conference on Artificial …, 2024 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10730620/,unknown,unknown
The research of high-level tracing for linux extended berkeley packet filter,M Jonaitis,2026,0,"… based on modern Linux kernel technologies-eBPF and XDP. … There are multiple tracepoints and hooks, also referred to as ""… receive queue packet processing; TC (Traffic Control) hook …",IBy2Q7F73wkJ,M Jonaitis - 2026 - epublications.vu.lt,[],https://epublications.vu.lt/object/elaba:277679727/,unknown,unknown
The ebpf runtime in the linux kernel,"B Gbadamosi, L Leonardi, T Pulls…",2024,21,"… For our example, we consider the C program in Listing 1 written for the XDP hook [50], which invokes the program for … Kernel functions and tracepoints can be traced by attaching …",n_bJ7I2fkQoJ,"B Gbadamosi, L Leonardi, T Pulls… - arXiv preprint arXiv …, 2024 - arxiv.org",[],https://arxiv.org/abs/2410.00026,unknown,unknown
EBPF-from a programmer's perspective,N Hedam,2021,8,"… to look for the library at runtime using the -Wl,-rpath argument. … The eBPF XDP type enables eBPF programs to inspect … The eBPF Tracepoint type enables eBPF programs to attach …",HK-R3JO0IYcJ,"N Hedam - EasyChair, Tech. Rep., 2021 - hed.am",[],https://hed.am/papers/2021-EBPF.pdf,unknown,unknown
{XRP}:{In-Kernel} storage functions with {eBPF},"Y Zhong, H Li, YJ Wu, I Zarkadas, J Tao…",2022,173,"… using Linux eBPF. XRP is inspired by XDP, the recent efficient Linux eBPF networking hook [… We run the different YCSB workloads so that their runtime takes more or less the same time: …",dwzhSqtuTIYJ,"Y Zhong, H Li, YJ Wu, I Zarkadas, J Tao… - … USENIX Symposium on …, 2022 - usenix.org",[],https://www.usenix.org/conference/osdi22/presentation/zhong,unknown,unknown
Runtime Verification for Linux Kernel Based on eBPF,"L Yang, Y Che, F Lin, X Gao…",2025,0,"… Unlike kprobes, tracepoints are predefined markers placed by kernel … kernel runtime verification using eBPF technology. By leveraging Linear Temporal Logic (LTL) to specify kernel …",kIDn5fIhHAAJ,"L Yang, Y Che, F Lin, X Gao… - 2025 8th International …, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11181823/,unknown,unknown
