Category,Topic/System,CSV_File,PDF_Section_EN,PDF_Section_RU,Research_Status,Key_Findings
Government Surveillance,PRISM,government_surveillance_programs.csv,2.1,2.1,Complete,Section 702 FISA; downstream collection from tech companies; billions of communications annually
Government Surveillance,XKeyscore,government_surveillance_programs.csv,2.2,2.2,Complete,100+ field sites; 20TB+/day per site; Linux-based distributed search; PCLOB oversight
Government Surveillance,NSA SKYNET,government_surveillance_programs.csv,2.3,2.3,Complete,ML analytics on 55M+ Pakistan mobile users; pattern-of-life; serious false positive concerns
Government Surveillance,ICREACH,government_surveillance_programs.csv,2.4,2.4,Complete,"850B+ metadata records federated across NSA, CIA, FBI, DEA; cross-database correlation"
Government Surveillance,FBI NGI,government_surveillance_programs.csv,2.5,2.5,Complete,"Multimodal biometrics (face, iris, palm); 600+ sources; iris expansion 2026"
Government Surveillance,Upstream Collection,government_surveillance_programs.csv,2.1,2.1,Complete,Fiber-optic taps; 80% global traffic; MCT/SCT collection; FISA Court oversight
Secure Facilities,Utah Data Center (Bumblehive),secure_data_facilities.csv,3.1,3.1,Complete,65MW; 1M sq ft; zettabyte-scale; Tier 3; cryptanalysis hub
Secure Facilities,Iron Mountain Boyers,secure_data_facilities.csv,3.2,3.2,Complete,220ft underground; 1.8M sq ft; 100-acre underground lake; commercial gold standard
Secure Facilities,Granite Mountain Vault,secure_data_facilities.csv,3.3,3.3,Complete,700ft inside mountain; 12B+ person records; 14-ton blast doors; nuclear-resistant
Secure Facilities,Swiss Fort Knox I/II,secure_data_facilities.csv,3.4,3.4,Complete,Cold War bunkers; 99.7% SLA; glacial cooling; 448-bit encryption; dual-site redundancy
Secure Facilities,Arctic World Archive,secure_data_facilities.csv,3.5,3.5,Complete,250m deep in permafrost; Piql film; 500+ year lifespan; no electricity needed
Secure Facilities,Pionen,secure_data_facilities.csv,3.6,3.6,Complete,30m beneath Stockholm granite; 40cm blast door; district heating integration
Secure Facilities,Mount Weather,secure_data_facilities.csv,3.6,3.6,Complete,600K sq ft underground; COG facility; 5ft blast door; FNARS; FEMA operations
Secure Facilities,Cheyenne Mountain,secure_data_facilities.csv,3.6,3.6,Complete,NORAD; 2000ft inside mountain; 25-ton blast doors; EMP shielding; 30MT nuclear rated
Databases,Aadhaar,large_scale_databases.csv,4.1,4.1,Complete,1.3B+ enrollments; biometric centralized; linkage attack risks; evolving security framework
Databases,Google Spanner,large_scale_databases.csv,4.2,4.2,Complete,TrueTime API; external consistency; trillions of rows; time-travel queries
Databases,Amazon DynamoDB,large_scale_databases.csv,4.3,4.3,Complete,Single-digit millisecond; petabyte-scale; ACID transactions; KMS encryption; CloudTrail
Databases,CERN WLCG,large_scale_databases.csv,4.4,4.4,Complete,170+ centers; 2M+ CPU cores; exabyte storage; quantum optimization research
Databases,SWIFT,large_scale_databases.csv,4.5,4.5,Complete,42M+ messages/day; 11K institutions; CSP mandatory controls; 2FA
Databases,DTCC,large_scale_databases.csv,4.5,4.5,Complete,$2.3 quadrillion annual flow; SIFMU oversight; derivatives repository
Corporate Intel,Palantir Gotham,corporate_surveillance_platforms.csv,5.1,5.1,Complete,ICE $200M+; data fusion; entity resolution; opacity concerns; democratic oversight gaps
Corporate Intel,Palantir Foundry,corporate_surveillance_platforms.csv,5.1,5.1,Complete,Enterprise data integration; ERP/CRM/IoT; less controversial
Corporate Intel,NSO Pegasus,corporate_surveillance_platforms.csv,5.2,5.2,Complete,Zero-click exploits; mobile compromise; journalist targeting; Apple lawsuit; US blacklist
Corporate Intel,Clearview AI,corporate_surveillance_platforms.csv,5.3,5.3,Complete,3B+ scraped images; facial recognition; GDPR violations; BIPA settlement
Military C4ISR,JADC2/CJADC2,military_c4isr_systems.csv,6.1,6.1,Complete,All-domain C2; AI decision support; 5G/cloud/satellite; initial iteration deployed Feb 2024
Military C4ISR,DCGS-A,military_c4isr_systems.csv,6.2,6.2,Complete,600+ sources; 64% UI difficulty; bandwidth constraints; expeditionary challenges
China/ME Systems,China Skynet,china_middle_east_systems.csv,7.1,7.1,Complete,20M+ cameras; real-time tracking; cross-camera correlation; MPS
China/ME Systems,Golden Shield,china_middle_east_systems.csv,7.1,7.1,Complete,DNS hijacking; DPI; keyword filtering; VPN detection
China/ME Systems,NEOM Oxagon DC,china_middle_east_systems.csv,7.2,7.2,Complete,$5B; 1.5GW; net zero; subsea fiber; AI infrastructure
China/ME Systems,Masdar City DC,china_middle_east_systems.csv,7.2,7.2,Complete,1.6MW; PCI-DSS; ISO 27001; Equinix operated
Scientific Archives,Svalbard Seed Vault,scientific_longterm_archives.csv,8.1,8.1,Complete,4.5M sample capacity; 1.3M+ stored; -18°C; permafrost backup
Scientific Archives,GitHub Arctic Code Vault,scientific_longterm_archives.csv,8.2,8.2,Complete,21TB snapshot; 186 reels; 1000-year film; every active public repo 2020
Scientific Archives,Ice Memory Sanctuary,scientific_longterm_archives.csv,8.3,8.3,Complete,Antarctica -52°C; natural ice cave; no energy; first cores from Alps 2026
Scientific Archives,Project Silica,scientific_longterm_archives.csv,8.4,8.4,Complete,"Borosilicate glass; femtosecond laser; 10,000+ years; hundreds of layers in 2mm"
Scientific Archives,Rosetta Disk,scientific_longterm_archives.csv,8.5,8.5,Complete,"Nickel disk; 14,000 pages; 2,500 languages; comet 67P; 2,000+ years"
Scientific Archives,Vatican BAV Digital,scientific_longterm_archives.csv,8.5,8.5,Complete,"EMC Isilon; FITS format; 80,000+ manuscripts digitized; PREMIS validation"
Alternative Sources,QAnon,alternative_data_sources.csv,9.1,9.1,Complete,Decentralized conspiracy; millions of followers; gamified narrative; Jan 6 influence
Alternative Sources,DDoSecrets,alternative_data_sources.csv,9.2,9.2,Complete,40+ Russia datasets; 13TB+ Fuerzas Represivas; 410GB TeleMessage; restricted access
