title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Zero trust security strategies and guideline,J Seaman,2023,20,"… military base, airport or bank, where the security is … way that allows the Federal Government to prevent, detect, assess… migration to cloud technology shall adopt Zero Trust Architecture, …",pOgnHQsiTqwJ,"J Seaman - Digital transformation in policing: The promise, perils …, 2023 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-031-09691-4_9,unknown,unknown
Zero-Trust cloud security architectures with AI-orchestrated policy enforcement for US critical sectors,J Ibitoye,2023,35,… This paper proposes a zero-trust cloud security architecture enhanced by AI-orchestrated … This is particularly relevant to US military readiness and continuity of government operations…,6l-0dspHzb4J,"J Ibitoye - International Journal of Science and Engineering …, 2023 - ijsea.com",[],https://ijsea.com/archive/volume12/issue12/IJSEA12121019.pdf,unknown,unknown
"Enhancing federal cloud security with AI: zero trust, threat intelligence, and CISA compliance","BT Ofili, EO Erhabor, OT Obasuyi",2025,30,… (AI) enhances federal cloud security by enabling adaptive access … Zero Trust Architecture (ZTA) eliminates implicit trust in … the DoD ensures that cloud-based operations align with Zero …,4-YTPD8vFWUJ,"BT Ofili, EO Erhabor, OT Obasuyi - World Journal of Advanced …, 2025 - researchgate.net",[],https://www.researchgate.net/profile/Bukunmi-Ofili-2/publication/389389944_Enhancing_federal_cloud_security_with_AI_Zero_trust_threat_intelligence_and_CISA_Compliance/links/67c065d4f5cb8f70d5c2ea8d/Enhancing-federal-cloud-security-with-AI-Zero-trust-threat-intelligence-and-CISA-Compliance.pdf,unknown,unknown
Zero Trust Architecture Implementation and Assessment for the United States Federal Government,CJ Willman,2025,1,"… ZT and Zero Trust Architecture (ZTA) are widely discussed … a Zero Trust state, typically due to a lack of reliable trust … was “Zero Trust implementation and assessment US federal …",2uNUv-Pn-BgJ,CJ Willman - 2025 - search.proquest.com,[],https://search.proquest.com/openview/4e312ce2563db96446b8ac2a57e4cb15/1?pq-origsite=gscholar&cbl=18750&diss=y,unknown,unknown
Zero trust (ZT) concepts for federal government architectures,KD Uttecht,2020,46,"… In September 2019, the National Institute of Standards and Technology (NIST) released a … Zero Trust Architecture,” which describes the core components that make up a ZT Architecture, …",e-ZG0aFe878J,KD Uttecht - 2020 - apps.dtic.mil,[],https://apps.dtic.mil/sti/html/trecms/AD1106904/,unknown,unknown
Autonomous Cloud Security Orchestration for Critical Infrastructure Resilience: A Zero Trust-Based Federated Model,TJ Olorunlana,2024,6,"… grounded in zero trust to secure critical infrastructures in a multi-cloud world. It proposes layered architecture, … entities, including the Department of Defense (DoD). The platform employs …",WWiglEKwqPsJ,"TJ Olorunlana - International Journal of Science, Architecture …, 2024 - researchgate.net",[],https://www.researchgate.net/profile/Taiwo-Olorunlana/publication/393609496_Autonomous_Cloud_Security_Orchestration_for_Critical_Infrastructure_Resilience_A_Zero_Trust-Based_Federated_Model/links/68713cb23c12dc437a3e0800/Autonomous-Cloud-Security-Orchestration-for-Critical-Infrastructure-Resilience-A-Zero-Trust-Based-Federated-Model.pdf,unknown,unknown
Security of zero trust networks in cloud computing: A comparative review,"S Sarkar, G Choudhary, SK Shandilya, A Hussain…",2022,211,"… , CISA, NIST and OMB all pooling their resources to convert the entire government ecosystem … by the DoD’s Zero Trust Reference Architecture and meet the national security objective. …",rWOoDR7JaPgJ,"S Sarkar, G Choudhary, SK Shandilya, A Hussain… - Sustainability, 2022 - mdpi.com",[],https://www.mdpi.com/2071-1050/14/18/11213,unknown,unknown
Zero Trust Architecture Implementation for the Marine Corps Tactical Cloud,DM Oshiro,2023,1,… in the Department of Defense (DOD) zero trust architecture (… documentation focuses on maturing zero trust (ZT) capabilities for … on existing DOD ZTA reference architecture. Additional …,BWNCKdj-3pAJ,DM Oshiro - 2023 - apps.dtic.mil,[],https://apps.dtic.mil/sti/html/trecms/AD1224761/,unknown,unknown
Leveraging Cloud-based ai and zero trust architecture to enhance US cybersecurity and counteract foreign threats,I Kolawole,2025,10,… the transformative potential of cloud-based artificial intelligence (AI) and Zero Trust Architecture (ZTA) in fortifying US cybersecurity and mitigating foreign threats. Cloud-based AI …,4i6rE9xdZRkJ,"I Kolawole - World Journal of Advanced Research and Reviews, 2025 - researchgate.net",[],https://www.researchgate.net/profile/Ikeoluwa-Kolawole/publication/389551725_Leveraging_Cloud-based_ai_and_zero_trust_architecture_to_enhance_U_S_cybersecurity_and_counteract_foreign_threats/links/67c73afbf5cb8f70d5c7acc2/Leveraging-Cloud-based-ai-and-zero-trust-architecture-to-enhance-U-S-cybersecurity-and-counteract-foreign-threats.pdf,unknown,unknown
Zero trust in a virtual cybersecurity world,"T Hubbard, JF Klimavicz, S Wong…",2021,17,"… networks as governments move more data to the cloud and large … frameworks, using a zero trust (ZT) architecture (ZTA). … “Industry urges agencies to accelerate zero trust adoption …",wF3kAt86z5kJ,"T Hubbard, JF Klimavicz, S Wong… - … Journal of Government …, 2021 - search.proquest.com",[],https://search.proquest.com/openview/30c22f6430bce1b543c850b3963373b7/1?pq-origsite=gscholar&cbl=26015,unknown,unknown
