Search Topic,Title,Authors,Year,Citations,Abstract,Publication Info,URL
Agnelli Family,Agnelli. The italian royal family,L Moncalvo,2024,0,"… , che la Fiat fu una <<geniale intuizione» di Giovanni Agnelli, il nonno di Gianni. Certamente capì prima e meglio di altri che l'automobile sarebbe diventata un grande business. Ma, all'…",L Moncalvo - 2024 - books.google.com,https://books.google.com/books?hl=en&lr=&id=i_80EQAAQBAJ&oi=fnd&pg=PT8&dq=Agnelli+family+Fiat+Italy+business&ots=MLJjmOU0CP&sig=KAIgvKAEEeak2d0253lJGB6lEH8
Al-Saud Family,Saudi Arabias centralized political structure: prospects and challenges,E Alhussein,2023,5,"… long-term continuity of the royal family over the past decades. … the Al Saud family, which rested on three domestic political … promised to change Saudi Arabia’s rentier economy to one …","E Alhussein - Handbook of Middle East Politics, 2023 - elgaronline.com",https://www.elgaronline.com/edcollchap/book/9781802205633/book-part-9781802205633-14.xml
Al-Saud Family,"A Kingdom of Possibility: The International Rise, Affluence, and Influence of the House of Saud",S Strungaru,2024,0,"… , given that Saudi Arabia’s command economy is largely petroleum… power among members of the large royal family, together with an “… Our people will amaze the world again” (Al-Saud). …","S Strungaru - M/C Journal, 2024 - journal.media-culture.org.au",https://www.journal.media-culture.org.au/index.php/mcjournal/article/view/3043
Alphabet/Google,"Google, big data, & antitrust",M Case,2021,22,"… methods, such as machine learning through artificial intelligence (""AI""). Google claims that it … law as it currently exists is perfectly capable of regulating such markets.Further, many have …","M Case - Del. J. Corp. L., 2021 - HeinOnline",https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/decor46&section=12
Alphabet/Google,The big tech antitrust paradox: A reevaluation of the consumer welfare standard for digital markets,"CA Makridis, J Thayer",2023,18,"… via their alleged free services (eg, Google's Search, YouTube, or free apps2 on Apple's App Store). The debate concerning regulating or enforcing antitrust laws against the major tech …","CA Makridis, J Thayer - Stan. Tech. L. Rev., 2023 - HeinOnline",https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/stantlr27&section=4
Alphabet/Google,The Antitrust and Privacy Interface: Lessons for Regulators from the Data,"B Pinto, DD Sokol, F Zhu",2024,5,… antitrust issues in digital services markets and may view privacy regulations as a means to bridge antitrust … Sokol and Zhu have provided consulting services to Alphabet and Meta. They …,"B Pinto, DD Sokol, F Zhu - Geo. Mason L. Rev., 2024 - HeinOnline",https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/gmlr31&section=36
Alphabet/Google,Breaking Down the Arguments for and against US Antitrust Legislation,C Chin,2022,4,"… directed attention to the actions of Alphabet (the parent company of Google), Amazon, Apple… Alphabet, Amazon, Apple, and Meta. In turn, some critics have asserted that unequal rules …",C Chin - 2022 - JSTOR,https://www.jstor.org/stable/pdf/resrep40566.pdf
Alphabet/Google,Artificial Intelligence and Antitrust Law: A Primer,S Marar,2024,4,"… extraneous factors to antitrust law, such as labor rights, environmental regulation, and special small-business protections. This would politicize antitrust law while increasing costs and …","S Marar - Mercatus Special Study, 2024 - papers.ssrn.com",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4745321
Alphabet/Google,Antimonopoly Tools for Regulating Artificial Intelligence,"G Sitaraman, T Narechania",2024,2,"… regulating artificial intelligence (AI) among policymakers, technologists, and scholars have intensified. For all the interest in regulating … use antimonopoly tools to regulate the harms that …","G Sitaraman, T Narechania - Vanderbilt Policy Accelerator …, 2024 - cdn.vanderbilt.edu",https://cdn.vanderbilt.edu/vu-URL/wp-content/uploads/sites/412/2023/10/09151452/Policy-Brief-2023.10.08-.pdf
Alphabet/Google,Regulations and Antitrust Issues and Enforcement,R Girasa,2025,0,"… regulations and then proceed to an examination of antitrust issues that have arisen multifold with supergiant firms, such as Google, … lack of regulatory compliance are Alphabet, Amazon, …","R Girasa - Artificial Intelligence as a Disruptive Technology …, 2025 - Springer",https://link.springer.com/chapter/10.1007/978-3-032-02827-3_3
