title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Reassembling religious symbols: The pagan god Baphomet,D Ezzy,2015,15,"… of the Pagan deity Baphomet as a religious symbol that shapes, facilitates … Baphomet rite takes place on the third night of Faunalia. The focus of this paper is on Baphomet as a symbol…",bGWJ40wjWZ8J,"D Ezzy - Religion, 2015 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/0048721X.2014.949898,unknown,unknown
The Baphomet: A discourse analysis of the symbol in three contexts,C Karlson-Weimann,2013,5,"… Baphomet symbol is understood in three different contexts. Firstly, the understanding of the Baphomet is … Ultimately, I find the Baphomet to be viewed as a symbol associated with Satan, …",cNXOBwhTUkcJ,C Karlson-Weimann - 2013 - diva-portal.org,[],https://www.diva-portal.org/smash/get/diva2:612805/FULLTEXT02,unknown,unknown
Baphomet Revealed: Mysteries and Magic of the Sacred Icon,H Lynn,2024,1,"… Thus, the symbol of Baphomet embodies a holistic principle, a transformative “third element,… , I find the multilayered symbolism of Baphomet both deeply unsettling and strangely …",NMoxYDxFhcYJ,H Lynn - 2024 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=jJz2EAAAQBAJ&oi=fnd&pg=PP1&dq=Baphomet+history+symbolism&ots=awFl6ji_rh&sig=6JW7eabUv9WLpi33sF-srwNcNGY,unknown,unknown
"Baphomet: History, Ritual & Magic of the World's Most Famous Occult Icon",MO Snuffin,2025,1,"… Lévi knew that the cube that Baphomet sits on is a common alchemical symbol for salt: “... their Salt is represented under the form of a cubical stone, as we can observe in the TWELVE …",nUtkhALD71AJ,MO Snuffin - 2025 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=-p5MEQAAQBAJ&oi=fnd&pg=PT15&dq=Baphomet+history+symbolism&ots=5f9-vGLr5q&sig=wsCv7x0SSCYkOespU_bJhS7yq10,unknown,unknown
"The"" Baphomet"" of Eliphas Lévi: Its Meaning and Historical Context",J Strube,2017,56,"… In this light, the Baphomet is not only a magnetistic symbol … of the Baphomet It is relatively easy to trace the visual inspirations of Lévi’s notorious drawing. Obviously, the Baphomet is …",rcmp9gcOkdAJ,"J Strube - Correspondences, 2017 - academia.edu",[],https://www.academia.edu/download/51788750/Strube__Julian_2017_The_Baphomet_of_Eliphas_Levi.pdf,unknown,unknown
Baphomet incorporated: A case study in neomedievalism,H Brown,2011,15,"… Andrew Michael Ramsay identified the crusader knights as bearers of “ancient signs and symbolic words” and guardians of “the most sublime truths.”At the same time, Friedrich …",5mH6urletyUJ,"H Brown - Studies in Medievalism, 2011 - cambridge.org",[],https://www.cambridge.org/core/services/aop-cambridge-core/content/view/A0C18CB07E9FE88E6AF73AD6238B8622/stamped-9781846159527c1_p1-10_CBO.pdf/baphomet-incorporated-a-case-study.pdf,unknown,unknown
Evaluating Klossowski's Le Baphomet,I James,2005,9,"… the historical prologue, its discontinuous and fantastical narrative presentation, in which the boundaries between persons and identities appear permeable and insecure, Le Baphomet …",yYJLIUsIkokJ,"I James - diacritics, 2005 - muse.jhu.edu",[],https://muse.jhu.edu/pub/1/article/216281/summary,unknown,unknown
Shift In Meaning Of Occult Symbols In Selected Contemporary Visual American Popular Music,TK Gideon,2014,0,"… symbols are understood and used in the society. However, given that this study is about symbols, … For about a second, the fire from the lighter takes the shape of a Baphomet head / goat …",wZMs4jSkV8YJ,TK Gideon - 2014 - repository.kisiiuniversity.ac.ke,[],http://repository.kisiiuniversity.ac.ke:8080/xmlui/handle/123456789/8233,unknown,unknown
Hidden religion: The greatest mysteries and symbols of the world's religious beliefs,"M Issitt, C Main",2014,47,"… symbols, providing information on the history, use, and ascribed meaning of these symbols, … In the case of Japanese Shinto, the articles on Tomoe and the Torii Gate refer to symbols …",VWklAiQG5uoJ,"M Issitt, C Main - 2014 - books.google.com",[],https://books.google.com/books?hl=en&lr=&id=YQPHEAAAQBAJ&oi=fnd&pg=PT9&dq=Baphomet+history+symbolism&ots=ukt7WcO7op&sig=hin-p0lxJQblEIzlMSa3NOYrqTk,unknown,unknown
The Satanic Temple: Secularist Activism and Occulture in the American Political Landscape.,"MH White, F Gregorius",2019,25,"… Christianity, and Lévi’s Baphomet must be understood in rela… While Lévi intended Baphomet less as a pro-Satanic symbol … Baphomet was clearly inspired by historical representations …",AK4YpAiijR8J,"MH White, F Gregorius - International Journal for the Study of New …, 2019 - academia.edu",[],https://www.academia.edu/download/63034084/38954-120290-1-PB.pdf,unknown,unknown
