title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Comparative study of keccak sha-3 implementations,"A Dolmeta, M Martina, G Masera",2023,13,"… In this survey, we focus on Secure Hash Algorithm 3 (SHA-3). It is a cryptographic hash function standard selected by the National Institute of Standards and Technology (NIST) in 2015. …",7uibNhM1sD4J,"A Dolmeta, M Martina, G Masera - Cryptography, 2023 - mdpi.com",[],https://www.mdpi.com/2410-387X/7/4/60,unknown,unknown
Keccak,"G Bertoni, J Daemen, M Peeters…",2013,544,"… While preparing for the SHA-3 competition, we developed and presented the sponge … for building a hash function and we adopted it for our SHA-3 candidate Keccak. Additionally, …",irehJf2s0DcJ,"G Bertoni, J Daemen, M Peeters… - … conference on the theory …, 2013 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-642-38348-9_19,unknown,unknown
"SHA-3 derived functions: cSHAKE, KMAC, TupleHash, and ParallelHash","J Kelsey, S Chang, R Perlner",2016,149,… These SHAKE (Secure Hash Algorithm KECCAK) functions are a new kind of cryptographic … a SHA-3-derived hash function with variable-length output that is designed to simply hash a …,Q8mu-dCVdZIJ,"J Kelsey, S Chang, R Perlner - NIST special publication, 2016 - nvlpubs.nist.gov",[],https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-185.pdf,unknown,unknown
Third-round report of the SHA-3 cryptographic hash algorithm competition,"S Chang, R Perlner, WE Burr, MS Turan…",2012,124,"… 2, 2012, NIST announced the winning algorithm of the SHA-3 competition – Keccak. This report summarizes the evaluation of the five finalists and the selection of the SHA-3 winner. …",evO5XCYKoX4J,"S Chang, R Perlner, WE Burr, MS Turan… - NIST Interagency …, 2012 - nvlpubs.nist.gov",[],https://nvlpubs.nist.gov/nistpubs/ir/2012/NIST.IR.7896.pdf,unknown,unknown
Hash function of finalist SHA-3: Analysis study,"I Al Shaikhli, M Alahmad, K Munthir",2014,18,"… of SHA-3 candidates such as (BLAKE, Grostl, JH, Keccak, and … such as JH and Keccak for the future security of hash function. … Whereas, excluded the rest of hash functions in this finalist, …",0_SlHv7soy8J,"I Al Shaikhli, M Alahmad, K Munthir - International Journal of …, 2014 - papers.ssrn.com",[],https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2376182,unknown,unknown
Comparison and analysis study of SHA-3 finalists,"IF Alshaikhli, MA Alahmad…",2012,24,… SHA-3 increased between the candidates hash functions to … requirements to measure different hash functions criteria such as; … announcing that Keccak is of SHA-3 NIST competition. …,KGthKBxKb48J,"IF Alshaikhli, MA Alahmad… - … Conference on Advanced …, 2012 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/6516382/,unknown,unknown
"A vulnerability in implementations of SHA-3, SHAKE, EdDSA, and other NIST-approved algorithms","N Mouha, C Celi",2023,14,… implementations of the Secure Hash Algorithm 3 (SHA-3) that have been … of Keccak was submitted to the National Institute of Standards and Technology (NIST) SHA-3 hash function …,ELft4lO7hOwJ,"N Mouha, C Celi - Cryptographers' Track at the RSA Conference, 2023 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-031-30872-7_1,unknown,unknown
Brief review on journey of secured hash algorithms,"S Debnath, A Chattopadhyay…",2017,69,"… From the establishment of the first hash function MD5, … and advanced to SHA 2 and SHA 3, the details of which are … [1][8] The Keccak hash family is revised version of algorithm …",uDNvOPrMWo0J,"S Debnath, A Chattopadhyay… - 2017 4th International …, 2017 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/8349971/,unknown,unknown
Design and implementation of keccak hash function for cryptography,"MA Patil, PT Karule",2015,15,"… hash functions competed by NIST, KECCAK was chosen and standardized as the SHA-3 algorithm … the total internal architecture of sha-3 using Keccak hash function .the 512 bit …",0u34kJsz0wMJ,"MA Patil, PT Karule - 2015 International Conference on …, 2015 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/7322620/,unknown,unknown
SHA 3 and Keccak variants computation speeds on constrained devices,"T Vandervelden, R De Smet, K Steenhaut…",2022,17,"… of the Keccak primitive. We also compare the standard functions from SHA 2 with SHA 3 on … All implementations of SHA 2, SHA 3 and Keccak are purely written in Rust, since Rust …",cwUvClEhafEJ,"T Vandervelden, R De Smet, K Steenhaut… - Future Generation …, 2022 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0167739X21003885,unknown,unknown
