title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
A technical comparison of three low earth orbit satellite constellation systems to provide global broadband,"I Del Portillo, BG Cameron, EF Crawley",2019,1268,"… satellite constellations, namely SpaceX's 4425 satellites Ku-Ka-band system, OneWeb's 720 satellites Ku-Ka-band system, and Telesat's 117 satellites … of each of the constellations (as …",JhU5OUkyi3sJ,"I Del Portillo, BG Cameron, EF Crawley - Acta astronautica, 2019 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0094576518320368,unknown,unknown
An updated comparison of four low earth orbit satellite constellation systems to provide global broadband,"N Pachler, I Del Portillo, EF Crawley…",2021,443,"… detailing each constellation’s characteristics, we focused on the orbital configuration and satellite visibility. Then, we briefly mentioned the methods and models used for the system …",TEKy0ayeUkQJ,"N Pachler, I Del Portillo, EF Crawley… - 2021 IEEE …, 2021 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9473799/,unknown,unknown
Low-Earth orbit satellite constellations for global communication network connectivity,"E Lagunas, S Chatzinotas, B Ottersten",2024,55,"… in the field of LEO broadband constellations and discuss the … networks. We also present the advancements that are, from the beginning of the 2020s, empowering LEO constellations to …",HlZZ7JmxgK0J,"E Lagunas, S Chatzinotas, B Ottersten - Nature Reviews Electrical …, 2024 - nature.com",[],https://www.nature.com/articles/s44287-024-00088-9,unknown,unknown
Broadband LEO satellite communications: Architectures and key technologies,"Y Su, Y Liu, Y Zhou, J Yuan, H Cao…",2019,749,"… In this system, the satellite constellation design is important … LEO constellations, the walker Delta and Star constellations, … with circular orbit geometry and the Walker Star constellation …",S1TfMul6ELoJ,"Y Su, Y Liu, Y Zhou, J Yuan, H Cao… - IEEE Wireless …, 2019 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/8700141/,unknown,unknown
"A techno-economic framework for satellite networks applied to low earth orbit constellations: Assessing Starlink, OneWeb and Kuiper","OB Osoro, EJ Oughton",2021,256,"… the techno-economics of satellite broadband connectivity which is … of satellite constellations. Secondly, the approach is applied to assess the three main competing LEO constellations …",2Rx85KDCYDsJ,"OB Osoro, EJ Oughton - IEEE access, 2021 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9568932/,unknown,unknown
Broadband satellite systems,"DJ Bem, TW Wieckowski…",2000,91,"… A global system such as this requires a constellation of many orbits with many satellites on … When HEO constellations are used, we can develop a satellite system having properties …",CIgEsLAutMcJ,"DJ Bem, TW Wieckowski… - … Surveys & Tutorials, 2000 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/5340721/,unknown,unknown
A Comprehensive Review of Satellite Orbital Placement and Coverage Optimization for Low Earth Orbit Satellite Networks: Challenges and Solutions,AA Ahmed,2025,4,… orbital parameters which are known as Keplerian elements to define the orbits of a satellite constellation and to … system has become an important zone for satellite internet providers. It is …,QCO3XXe2BN8J,"AA Ahmed - Network, 2025 - mdpi.com",[],https://www.mdpi.com/2673-8732/5/3/32,unknown,unknown
LEO satellite constellation for Internet of Things,"Z Qu, G Zhang, H Cao, J Xie",2017,719,"… of the Internet. This paper focuses on the low earth orbit (LEO) satellite constellation-based … access to terrestrial network is impractical, they can only be covered by satellite. Comparing …",FM6nYQKVwukJ,"Z Qu, G Zhang, H Cao, J Xie - IEEE access, 2017 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/8002583/,unknown,unknown
Constellation Multi-Objective Optimization Design Based on QoS and Network Stability in LEO Satellite Broadband Networks.,"D Yan, P You, C Liu, S Yong, D Guan",2019,16,"… SIN, consisting of satellites and satellite constellations at different Earth orbits for increasing the coverage area, can achieve real-time acquisition, transmission, and processing of …",22SZVl831aQJ,"D Yan, P You, C Liu, S Yong, D Guan - KSII Transactions on Internet & …, 2019 - itiis.org",[],http://itiis.org/digital-library/manuscript/file/22031/TIISVol13No3-8.pdf,unknown,unknown
Optical satellite networks,"N Karafolas, S Baroni",2000,131,"… orbit (LEO) systems. Multihop will be required for some of the very large in number of satellites constellations… an optical backbone network for broadband satellite constellations,” in Proc. …",Ve3Kw1Gg2MsJ,"N Karafolas, S Baroni - Journal of lightwave technology, 2000 - opg.optica.org",[],https://opg.optica.org/abstract.cfm?uri=JLT-18-12-1792,unknown,unknown
