title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Blockchain-enabled verification of medical records using soul-bound tokens and cloud computing,"P Singh, S Sagar, S Singh, HM Alshahrani…",2024,24,… a blockchain-based SBT-based automatic mechanism for authentication and verification of records. Soul-bound tokens … connection between the user’s identity and the soulbound token. …,s64onTU3MY4J,"P Singh, S Sagar, S Singh, HM Alshahrani… - Scientific Reports, 2024 - nature.com",[],https://www.nature.com/articles/s41598-024-75708-3,unknown,unknown
Private identity-related attribute verification protocol using soulbound tokens and zero-knowledge proofs,"MÀ Cabot-Nadal, B Playford…",2023,15,"… we propose a protocol based on blockchain technology, Soulbound tokens (SBT) and zero-… of the identity holder address to encrypt the data, our protocol can represent various identity …",yDjBnbyOARMJ,"MÀ Cabot-Nadal, B Playford… - 2023 7th Cyber …, 2023 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10339754/,unknown,unknown
DSBT: Research on soulbound token mechanism based on consortium blockchain and decentralized identity,"Y Zhang, L Zhang, Q Zhang, P Zheng, X Jia…",2023,6,"… from digital identities and virtual tokens. This paper focuses on the recently … Soulbound Token (SBT), introduces the concepts of digital identity, blockchain, and Decentralized Identity (…",W43Red1si6MJ,"Y Zhang, L Zhang, Q Zhang, P Zheng, X Jia… - … on Computational & …, 2023 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-031-42987-3_34,unknown,unknown
The rise of the egocentric brand and consumer: the case of soulbound tokens (SBT),Z Ramadan,2024,7,… society and blockchain technologies such as non-fungible tokens (NFTs) and “… The NFT nontransferable “Soulbound” can certify that the user’s social identity and status are untradeable …,VzDiALIqc1AJ,"Z Ramadan - Qualitative Market Research: An International Journal, 2024 - emerald.com",[],https://www.emerald.com/qmr/article-abstract/27/5/921/1219917,unknown,unknown
Soulbound tokens: Enabler for privacy-aware and decentralized authentication mechanism in medical data storage,"B Boi, F Cirillo, M De Santis…",2024,8,"… digital identities. Additionally, the architecture introduces a new type of non-… token (NFT) known as the soulbound token (SBT). The SBTs are a specific type of non-transferable token …",T1luL9pWoZQJ,"B Boi, F Cirillo, M De Santis… - Blockchain in healthcare …, 2024 - pmc.ncbi.nlm.nih.gov",[],https://pmc.ncbi.nlm.nih.gov/articles/PMC11624496/,unknown,unknown
A soulbound token certificate verification system (sbtcert): Design and implementation,"TV Tumati, Y Tian, X Jiang",2024,13,… work on document verification using blockchain technology and the blockchain tokens. … to verify their identity. The certificate creation process leverages the Soul Bound Token (SBT) and …,brZjZ5HQyrYJ,"TV Tumati, Y Tian, X Jiang - 2024 IEEE 14th Annual Computing …, 2024 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10427736/,unknown,unknown
On the existential basis of self-sovereign identity and soulbound tokens: An examination of the “self” in the age of web3,"TJ Chaffer, J Goldston",2022,31,… behavior currently facing the NFT and cryptocurrency space? Before we answer … a soulbound token (SBT)powered mechanism. SBTs are publicly visible and non-transferrable tokens …,NFCp5ZU_rk4J,"TJ Chaffer, J Goldston - 2022 - philpapers.org",[],https://philpapers.org/rec/CHAOTE-9,unknown,unknown
Soulbound token applications: a case study in the health sector,"A Pinna, MI Lunesu, R Tonelli, S Sansoni",2025,8,"… on the concept of blockchain soulbound tokens, their potential … The application sectors include the creation of digital identity … NFT token at the time of minting adding them the SBT …",wruYDBKtq3YJ,"A Pinna, MI Lunesu, R Tonelli, S Sansoni - … Technologies: Research and …, 2025 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3674155,unknown,unknown
The future of soulbound tokens and their blockchain accounts,F Hildebrandt,2022,9,"… : Soulbound tokens are not easy to implement because they must be issued to specific identities … of attestations, the previous SBT can be removed, and a new token reissued to a new …",0N1y8hSkzvYJ,"F Hildebrandt - … zum Scientific Track der Blockchain …, 2022 - monami.hs-mittweida.de",[],https://monami.hs-mittweida.de/frontdoor/index/index/docId/13450,unknown,unknown
Framework for privacy preserving credential issuance and verification system using soulbound token,"S Reddy, DS Kushwaha",2023,10,"… the public blockchain. The credential used in this framework is a soulbound token (SBT), a … -sovereign identity field. It shows the challenges we can face due to the nontransferability of …",5pu7ChuMmgYJ,"S Reddy, DS Kushwaha - ITM Web of Conferences, 2023 - itm-conferences.org",[],https://www.itm-conferences.org/articles/itmconf/abs/2023/06/itmconf_icdsac2023_06002/itmconf_icdsac2023_06002.html,unknown,unknown
