title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Recovering from geopolitical risk: An event study of Huawei's semiconductor supply chain,"YK Tse, K Dong, R Sun, R Mason",2024,51,"… semiconductor industry, particularly in the accessing of … the supply chains, this study provides useful insights for understanding the propagation effect of good news in the supply chain …",SbHvS7nE3KwJ,"YK Tse, K Dong, R Sun, R Mason - International Journal of Production …, 2024 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0925527324002044,unknown,unknown
The geopolitics of supply chains: EU efforts to ensure security of supply,A Glencross,2024,22,"… to ensure security of supply in three sectors: semiconductors, … semiconductor strategy coincided with a growing awareness of supply chain vulnerabilities in the semiconductor industry, …",fXWvfR674k4J,"A Glencross - Global Policy, 2024 - Wiley Online Library",[],https://onlinelibrary.wiley.com/doi/abs/10.1111/1758-5899.13388,unknown,unknown
"Semiconductor production, geopolitics and the CHIPS ACT of 2022: a theoretical analysis","K Hyatt, PM Ryle, MA McKnight",2025,8,"… global supply chain issues and potential geopolitical concerns. … for examining the international semiconductor supply chain. … Once the center of global semiconductor manufacturing, the …",N3e7-YxhN7gJ,"K Hyatt, PM Ryle, MA McKnight - Digital Policy, Regulation and …, 2025 - emerald.com",[],https://www.emerald.com/dprg/article/27/1/1/1240520,unknown,unknown
"Geopolitics and geospatial strategies: the rise of regulatory supply chain controls for semiconductor GPN in Japan, South Korea and Taiwan","Y Aoyama, E Song, S Wang",2024,26,"… and trade policies of East Asian states over the semiconductor industry, we show how states re-constitute national priorities, how they re-align diplomatic strategies, and how they justify …",rzh4YJZErgwJ,"Y Aoyama, E Song, S Wang - ZFW–Advances in Economic …, 2024 - degruyterbrill.com",[],https://www.degruyterbrill.com/document/doi/10.1515/zfw-2024-0046/html,unknown,unknown
Supply chain security in the age of techno-geopolitics:'Fab 4'case in the semiconductor industry,J Yoon,2023,17,… This paper aims to present a “techno-geopolitical” perspective regarding the restructuring process of the semiconductor supply chain while examining the significance of the US Fab 4 …,McbAnmX3p74J,J Yoon - 2023 - kjis.org,[],https://kjis.org/journal/view.html?uid=284&&vmd=Full,unknown,unknown
"Semiconductor supply chain resilience and disruption: insights, mitigation, and future directions","W Xiong, DD Wu, JHY Yeung",2025,128,"… complexities of the semiconductor supply chain. Focusing on geopolitical security issues and … the effects of such events on the semiconductor industry. Finally, our review elucidates the …",-19jMaGeTBIJ,"W Xiong, DD Wu, JHY Yeung - International Journal of Production …, 2025 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/00207543.2024.2387074,unknown,unknown
Supply chain regulation in the service of geopolitics: What's happening in semiconductors?,D Ernst,2021,18,… argues that supply chain regulation in semiconductors faces a … — the deepening entanglement of geopolitics with trade and … semiconductor industry requirements with any geopolitical …,36VxrIVrrJkJ,D Ernst - 2021 - econstor.eu,[],https://www.econstor.eu/handle/10419/299728,unknown,unknown
Supply Chain Interdependence and Geopolitical Vulnerability The Case of Taiwan and High-End Semiconductors,"B Martin, LH Baldwin, P DeLuca, N Henriquez Sanchez…",2023,30,"… , Semiconductor Manufacturing Technology (SEMATECH), which was intended to promote semiconductor manufacturing … a dominant player in the semiconductor industry but, as we will …",vqhjz_gg8KcJ,"B Martin, LH Baldwin, P DeLuca, N Henriquez Sanchez… - 2023 - apps.dtic.mil",[],https://apps.dtic.mil/sti/html/trecms/AD1195673/,unknown,unknown
Geopolitical disruptions in global supply chains: a state-of-the-art literature review,"L Bednarski, S Roscoe, C Blome…",2025,370,"… ’s effort to develop an independent semiconductor supply chain. Nevertheless, despite its … War reparations impacting the semiconductor industry, and US semiconductor trade policy …",dZu4-Zdp3zMJ,"L Bednarski, S Roscoe, C Blome… - Production planning & …, 2025 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/09537287.2023.2286283,unknown,unknown
The geographies and geopolitics of industrial policy: Designing a data-driven UK semiconductor strategy,"S Rolf, J Baines, J Germann…",2025,6,"… Second, it will enhance its supply chain resilience strategy to address geopolitical risk and … In addition, we present data on foreign direct investment in the UK semiconductor sector. …",n0A7obGDaQgJ,"S Rolf, J Baines, J Germann… - European Urban and …, 2025 - journals.sagepub.com",[],https://journals.sagepub.com/doi/abs/10.1177/09697764241303838,unknown,unknown
