title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
"Autonomous Security Operations Centers (SOC): AI Agents for Threat Triage, Response, and Orchestration",A Mareedu,2025,2,"… This review also situates autonomous SOCs within the broader cybersecurity automation landscape, exploring their integration with EDR, SIEM, and threat intelligence platforms. …",MHE4ezBlo6MJ,"A Mareedu - International Journal of Emerging Research in …, 2025 - ijeret.org",[],https://ijeret.org/index.php/ijeret/article/view/170,unknown,unknown
AI Agents Life Cycle and Security Considerations,"K Huang, C Hughes",2025,2,"… managing security throughout the lifecycle of autonomous, Agentic AI … ’s architecture supports secure operation. The Product … extends beyond traditional cybersecurity responsibilities to …",19_0oHusywUJ,"K Huang, C Hughes - Securing AI Agents: Foundations, Frameworks, and …, 2025 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-032-02130-4_5,unknown,unknown
Next-generation security operations center (SOC) resilience: Autonomous detection and adaptive incident response using cognitive AI agents,R Sugumar,2024,24,"… AI in dealing with cyber threats can be used as a theoretical foundation of autonomous cybersecurity agents, … up with agentic AI and allow systems to act semi-autonomously in complex …",A0SjgSL8lsgJ,"R Sugumar - International Journal of Technology, Management and …, 2024 - ijtmh.com",[],https://www.ijtmh.com/index.php/ijtmh/article/view/224,unknown,unknown
"Ethical and Trustworthy Autonomous Agents in Network SecOps: Transparency, Auditing, and Human-in-the-Loop Overrides","A Gurajapu, S Anumolu, V Garimella…",2025,5,"… or secure, tamper-proof audit records for each operational … by integrating explainable-AI methodologies, blockchain-… for human intervention within autonomous SecOps agents. This …",TYEycAV4YQQJ,"A Gurajapu, S Anumolu, V Garimella… - … Artificial Intelligence, 2025 - al-kindipublishers.org",[],https://al-kindipublishers.org/index.php/fcsai/article/view/12116,unknown,unknown
The Role of Artificial Intelligence in Bridging DevOps and SecOps for Cloud Infrastructure,K Ratnam,2025,3,"… operational challenges and security issues. Literature that examines the changing role of AI in making security operations … it from technical failures, cyber- attacks, or natural disasters. …",KnvvnY-IpuQJ,"K Ratnam - Data Governance, DevSecOps, and Advancements in …, 2025 - igi-global.com",[],https://www.igi-global.com/chapter/the-role-of-artificial-intelligence-in-bridging-devops-and-secops-for-cloud-infrastructure/377002,unknown,unknown
… robust security orchestration and automated response in security operations centers with a hyper-automation approach using agentic artificial intelligence,"Ismail, R Kurnia, ZA Brata, GA Nelistiani, S Heo, H Kim…",2025,34,"… application of conversational agents in streamlining security operations. Collectively, these … ethical implications of deploying autonomous AI systems in cybersecurity, emphasizing the …",xTkw3xLqPAoJ,"Ismail, R Kurnia, ZA Brata, GA Nelistiani, S Heo, H Kim… - Information, 2025 - mdpi.com",[],https://www.mdpi.com/2078-2489/16/5/365,unknown,unknown
Exploring the Role of Artificial Intelligence in Enhancing Security Operations: A Systematic Review,"D Giarimpampa, R Meier, TF Bissyande…",2025,4,"… Crucially, this conceptualisation emphasises AI’s capacity for autonomous operation—a … The findings of this review and meta-analysis provide essential insights for cyber security …",pvpwv7JP2F0J,"D Giarimpampa, R Meier, TF Bissyande… - ACM Computing …, 2025 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3747587,unknown,unknown
Empowering SOCs: A conceptual analysis of agentic AI's transformative potential in cybersecurity operations,"A Sharma, J Thakur, TP Sharma",2026,0,"… Models) with autonomous workflow execution is upgrading the SOC (Security Operations Centre). … in recent research, including multi-agent systems and hypothesis-driven reasoning. …",v5hS_N2GezwJ,"A Sharma, J Thakur, TP Sharma - Recent Advances in …, 2026 - api.taylorfrancis.com",[],https://api.taylorfrancis.com/content/chapters/edit/download?identifierName=doi&identifierValue=10.1201/9781003741565-70&type=chapterpdf,unknown,unknown
Cybersecurity ai: Evaluating agentic cybersecurity in attack/defense ctfs,"F Balassone, V Mayoral-Vilches, S Rass…",2025,6,"… of autonomous AI agents in A/D CTF scenarios, leveraging CAI [1] (Cybersecurity AI)’s parallel execution framework to deploy specialized offensive and defensive agents concurrently. …",COTpNX7BI-QJ,"F Balassone, V Mayoral-Vilches, S Rass… - arXiv preprint arXiv …, 2025 - arxiv.org",[],https://arxiv.org/abs/2510.17521,unknown,unknown
Autonomous AI Agents for Cybersecurity Operations and Continuous Compliance in Cloud Native Enterprise Platforms,A Schmidt,2025,0,… autonomous AI agents can enhance cybersecurity resilience improve compliance governance and enable intelligent security … The concept of autonomous security operations centers …,IX9T2K7aJvEJ,"A Schmidt - International Journal of Multidisciplinary Research in …, 2025 - ijmrsetm.net",[],https://ijmrsetm.net/index.php/ijmrsetm/article/view/56,unknown,unknown
