title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Regulations and Antitrust Issues and Enforcement,R Girasa,2025,0,"… regulations and then proceed to an examination of antitrust issues that have arisen multifold with supergiant firms, such as Google, … lack of regulatory compliance are Alphabet, Amazon, …",VCXmpRzAS1EJ,"R Girasa - Artificial Intelligence as a Disruptive Technology …, 2025 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-032-02827-3_3,unknown,unknown
"Google, big data, & antitrust",M Case,2021,22,"… methods, such as machine learning through artificial intelligence (""AI""). Google claims that it … law as it currently exists is perfectly capable of regulating such markets.Further, many have …",Tf65QDEPmc0J,"M Case - Del. J. Corp. L., 2021 - HeinOnline",[],https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/decor46&section=12,unknown,unknown
Breaking Down the Arguments for and against US Antitrust Legislation,C Chin,2022,4,"… directed attention to the actions of Alphabet (the parent company of Google), Amazon, Apple… Alphabet, Amazon, Apple, and Meta. In turn, some critics have asserted that unequal rules …",OSrTi6qE2ScJ,C Chin - 2022 - JSTOR,[],https://www.jstor.org/stable/pdf/resrep40566.pdf,unknown,unknown
Artificial Intelligence and Antitrust Law: A Primer,S Marar,2024,4,"… extraneous factors to antitrust law, such as labor rights, environmental regulation, and special small-business protections. This would politicize antitrust law while increasing costs and …",rR3dbT-sb5kJ,"S Marar - Mercatus Special Study, 2024 - papers.ssrn.com",[],https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4745321,unknown,unknown
The Antitrust and Privacy Interface: Lessons for Regulators from the Data,"B Pinto, DD Sokol, F Zhu",2024,5,… antitrust issues in digital services markets and may view privacy regulations as a means to bridge antitrust … Sokol and Zhu have provided consulting services to Alphabet and Meta. They …,e55Nl4LqlgAJ,"B Pinto, DD Sokol, F Zhu - Geo. Mason L. Rev., 2024 - HeinOnline",[],https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/gmlr31&section=36,unknown,unknown
Anti-competitive Practices of Google: Analysis of EU Proceedings in Comparison with US Approach,N Dostálová,2024,0,"… US, Google has not been found guilty of antitrust violations in … Rather, I will use artificial intelligence primarily to find … and regulations in the context of EU competition regulation. Also, soft …",UOZKrOOPE-oJ,N Dostálová - 2024 - dspace.cuni.cz,[],https://dspace.cuni.cz/handle/20.500.11956/206371,unknown,unknown
Regulation of Antitrust and Intellectual Property Rights,"R Girasa, GJ Scalabrini",2022,0,"In this chapter, we noted the progression of emerging technologies, led by American companies, almost inevitably has evolved to dominance by a select few innovative firms which have …",dGYNUjrl1xEJ,"R Girasa, GJ Scalabrini - … , Artificial Intelligence and Quantum Computing, 2022 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-031-03869-3_6,unknown,unknown
The big tech antitrust paradox: A reevaluation of the consumer welfare standard for digital markets,"CA Makridis, J Thayer",2023,18,"… via their alleged free services (eg, Google's Search, YouTube, or free apps2 on Apple's App Store). The debate concerning regulating or enforcing antitrust laws against the major tech …",s17z-X5_YGQJ,"CA Makridis, J Thayer - Stan. Tech. L. Rev., 2023 - HeinOnline",[],https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/stantlr27&section=4,unknown,unknown
Antimonopoly Tools for Regulating Artificial Intelligence,"G Sitaraman, T Narechania",2024,2,"… regulating artificial intelligence (AI) among policymakers, technologists, and scholars have intensified. For all the interest in regulating … use antimonopoly tools to regulate the harms that …",6plzZw9qYtQJ,"G Sitaraman, T Narechania - Vanderbilt Policy Accelerator …, 2024 - cdn.vanderbilt.edu",[],https://cdn.vanderbilt.edu/vu-URL/wp-content/uploads/sites/412/2023/10/09151452/Policy-Brief-2023.10.08-.pdf,unknown,unknown
The Impact of Modern Big Tech Antitrust on Digital Sovereignty,"E Hine, L Floridi",2026,0,"… three decades of US antitrust enforcement against Big Tech (Alphabet/Google, Amazon, … Viewing enforcement at a sovereignty level of abstraction clarifies that these regulatory choices …",ySFT4QhTW6kJ,"E Hine, L Floridi - Digital Society, 2026 - Springer",[],https://link.springer.com/article/10.1007/s44206-026-00249-3,unknown,unknown
