title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Evidence‐Based Potential of Generative Artificial Intelligence Large Language Models on Dental Avulsion: ChatGPT Versus Gemini,"T Tokgöz Kaplan, M Cankar",2025,46,"… As a result of this study, it was found that although the Gemini language model has a higher accuracy rate, also ChatGPT produces satisfactory answers to patient questions and may be …",L50cZ4mMog4J,"T Tokgöz Kaplan, M Cankar - Dental Traumatology, 2025 - Wiley Online Library",[],https://onlinelibrary.wiley.com/doi/abs/10.1111/edt.12999,unknown,unknown
Patients prefer artificial intelligence large language model-generated responses to those prepared by the American college of mohs surgery: a double-blind …,"MA Robinson, M Belzberg, C Cai, J Lim, TYA Liu…",2025,3,… Artificial intelligence (AI) systems leveraging large language … ChatGPT and Gemini answers were rated significantly more … Gemini responses were most frequently selected as the …,WNcro6-iUI0J,"MA Robinson, M Belzberg, C Cai, J Lim, TYA Liu… - JAAD international, 2025 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S2666328725000409,unknown,unknown
"Artificial intelligence in anesthesia: comparison of the utility of ChatGPT v/s google gemini large language models in pre-anesthetic education: content, readability and …","P Sharma, B Sidhu, A Reddy, P Saxena, R Gupta…",2025,1,… study comparing ChatGPT and Google Gemini in generating … Responses from both models were independently rated by … (CI) for ChatGPT versus Gemini. Readability was assessed …,Bz6uhA9hqEYJ,"P Sharma, B Sidhu, A Reddy, P Saxena, R Gupta… - BMC …, 2025 - Springer",[],https://link.springer.com/article/10.1186/s12871-025-03451-x,unknown,unknown
Large language models as assistance for glaucoma surgical cases: a ChatGPT vs. Google Gemini comparison,"MM Carlà, G Gambini, A Baldascino, F Boselli…",2024,92,… Artificial intelligence (AI) natural language processing has witnessed a significant … of advanced large language models (LLMs) [1]. Two of the most important LLM models are Chat …,GmN2Qpe7FtwJ,"MM Carlà, G Gambini, A Baldascino, F Boselli… - Graefe's Archive for …, 2024 - Springer",[],https://link.springer.com/article/10.1007/s00417-024-06470-5,unknown,unknown
Use of generative large language models for patient education on common surgical conditions: a comparative analysis between ChatGPT and Google Gemini,"OM ELSenbawy, KB Patel, RA Wannakuwatte…",2025,9,"… increases, Artificial Intelligence (AI) tools such as ChatGPT and Google Gemini have expanded their role in the medical field. ChatGPT is an artificial intelligence program created by …",ez282pFuBBEJ,"OM ELSenbawy, KB Patel, RA Wannakuwatte… - Updates in Surgery, 2025 - Springer",[],https://link.springer.com/article/10.1007/s13304-025-02074-8,unknown,unknown
… of Artificial Intelligence Platforms in Answering Dental Caries Multiple-Choice Questions: A Comparative Study of ChatGPT and Google Gemini Language …,"AA Azhari, WM Ahmed, A Alhamadani, A Alfaraj…",2026,0,"… to assess ChatGPT and Gemini responses to MCQs about … As cutting-edge AI language models, ChatGPT and Gemini … large language models (LLMs), ChatGPT and Google Gemini, on …",_ozjld-NSYwJ,"AA Azhari, WM Ahmed, A Alhamadani, A Alfaraj… - Dentistry Journal, 2026 - mdpi.com",[],https://www.mdpi.com/2304-6767/14/2/72,unknown,unknown
Welcome to the Gemini era: Google DeepMind and the information industry,HR Saeidnia,2023,107,"… With a keen interest in the field of artificial intelligence, he has dedicated his studies and … By leveraging powerful language models and Google’s vast knowledge base, Gemini aims to …",ChylB2TCTlkJ,"HR Saeidnia - Library Hi Tech News, 2023 - emerald.com",[],https://www.emerald.com/lhtn/article/doi/10.1108/LHTN-12-2023-0214/1254678,unknown,unknown
Performance benchmarking of generative AI models: Chatgpt-4 vs. Google Gemini AI,"K Kalluri, A Kokala, N Parvatha",2024,46,… The rapid advancements in generative artificial intelligence models … language model that has gained widespread attention for its impressive performance in a variety of natural language …,92et-A61lr0J,"K Kalluri, A Kokala, N Parvatha - International Research Journal …, 2024 - researchgate.net",[],https://www.researchgate.net/profile/Abhilash-Kokala-2/publication/386507133_PERFORMANCE_BENCHMARKING_OF_GENERATIVE_AI_MODELS_CHATGPT-4_VS_GOOGLE_GEMINI_AI/links/67535079ad10b614ef31a4cb/PERFORMANCE-BENCHMARKING-OF-GENERATIVE-AI-MODELS-CHATGPT-4-VS-GOOGLE-GEMINI-AI.pdf,unknown,unknown
"Grok, Gemini, ChatGPT and DeepSeek: Comparison and applications in conversational artificial intelligence","ME de Carvalho Souza, L Weigang",2025,50,"… Artificial Intelligence (AI) has seen significant advances in recent decades, especially in the development of Large Language Models … Artificial Intelligence models: Grok, Gemini, …",8fbEgSojJhwJ,"ME de Carvalho Souza, L Weigang - Inteligencia Artificial, 2025 - researchgate.net",[],https://www.researchgate.net/profile/Murillo-Edson-De-Carvalho-Souza/publication/389065042_Grok_Gemini_ChatGPT_and_DeepSeek_Comparison_and_Applications_in_Conversational_Artificial_Intelligence/links/67b8c4d9f5cb8f70d5b98990/Grok-Gemini-ChatGPT-and-DeepSeek-Comparison-and-Applications-in-Conversational-Artificial-Intelligence.pdf,unknown,unknown
"Performance of the ChatGPT-3.5, ChatGPT-4, and Google Gemini large language models in responding to dental implantology inquiries","N Taymour, SM Fouda, HH Abdelrahaman…",2025,33,"… Artificial intelligence (AI) chatbots have been proposed as promising resources for oral health information. However, the quality and readability of existing online health-related …",isyotbl4F-8J,"N Taymour, SM Fouda, HH Abdelrahaman… - The Journal of Prosthetic …, 2025 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0022391324008333,unknown,unknown
